City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,ilhabela,-23.78,-45.36,71.35,81,0,7.72,BR,1588118487
289,comodoro rivadavia,-45.87,-67.5,53.6,93,40,1.34,AR,1588118543
290,kodiak,57.79,-152.41,51.8,43,20,13.87,US,1588118564
291,tabory,58.52,64.55,43.63,90,37,4.68,RU,1588118565
292,petropavlovsk-kamchatskiy,53.05,158.65,44.6,42,20,11.18,RU,1588118565
293,asau,46.43,26.4,48.99,69,13,5.53,RO,1588118565
294,vanimo,-2.67,141.3,84.07,79,98,1.66,PG,1588118565
295,pamanukan,-6.28,107.81,79.09,82,78,5.53,ID,1588118565
296,isangel,-19.55,169.27,82.4,74,75,11.41,VU,1588118565
297,hami,42.8,93.45,71.76,15,4,7.43,CN,1588118566
298,narsaq,60.92,-46.05,41.0,41,82,2.24,GL,1588118566
299,banepa,27.63,85.52,57.2,93,40,2.53,NP,1588118567
300,nara,34.69,135.8,66.99,54,0,2.24,JP,1588118567
301,torbay,47.67,-52.73,33.01,86,90,19.46,CA,1588118567
302,toamasina,-18.17,49.38,73.4,94,75,6.93,MG,1588118568
303,saint-francois,46.42,3.91,50.0,76,69,3.36,FR,1588118568
304,araripina,-7.58,-40.5,71.11,72,96,9.31,BR,1588118568
305,milkovo,54.72,158.62,39.11,65,93,3.04,RU,1588118568
306,ilulissat,69.22,-51.1,26.6,63,40,5.82,GL,1588118569
307,hobyo,5.35,48.53,83.89,77,51,13.18,SO,1588118569
308,hasaki,35.73,140.83,63.0,58,20,2.24,JP,1588118569
309,waipawa,-41.41,175.52,62.6,55,0,20.8,NZ,1588118570
310,saint anthony,45.02,-93.22,51.8,71,90,11.41,US,1588118570
311,arkhipo-osipovka,44.37,38.52,46.56,64,3,5.03,RU,1588118570
312,koutiala,12.39,-5.46,95.43,16,73,5.93,ML,1588118570
313,ancud,-41.87,-73.82,57.0,100,40,6.93,CL,1588118570
314,pombas,17.15,-25.02,73.4,69,75,32.21,CV,1588118571
315,bubaque,11.28,-15.83,79.27,73,17,11.27,GW,1588118571
316,pozo colorado,-23.49,-58.8,77.13,53,0,2.51,PY,1588118571
317,pevek,69.7,170.31,26.02,95,64,3.74,RU,1588118571
318,sinazongwe,-17.26,27.46,70.88,44,0,4.76,ZM,1588118571
319,arraial do cabo,-22.97,-42.03,73.4,83,0,13.87,BR,1588118571
320,chapais,49.78,-74.85,48.2,31,1,8.05,CA,1588118572
321,lavrentiya,65.58,-171.0,25.75,91,13,1.61,RU,1588118572
322,berdigestyakh,62.1,126.7,35.55,90,100,3.56,RU,1588118572
323,fairbanks,64.84,-147.72,46.99,30,1,13.87,US,1588118572
